episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_faulty_episodes,num_healthy_workers,num_in_flight_async_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,timesteps_total,num_steps_trained_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,sampler_results/episode_reward_max,sampler_results/episode_reward_min,sampler_results/episode_reward_mean,sampler_results/episode_len_mean,sampler_results/episodes_this_iter,sampler_results/num_faulty_episodes,hist_stats/episode_reward,hist_stats/episode_lengths,timers/training_iteration_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,sampler_results/hist_stats/episode_reward,sampler_results/hist_stats/episode_lengths
nan,nan,nan,nan,0,0,3,0,0,1002,0,1002,0,1002,0,1002,0,1002,False,0,1,45677_00000,4b3554eec46b41eeb5d922821f573f3e,2023-02-10_13-06-14,1676030774,3.926569700241089,3.926569700241089,14767,Daniel,192.168.152.36,3.926569700241089,0,1,11.184238195419312,1002,0,1002,0,nan,nan,nan,nan,0,0,[],[],8.999,1002,0,1002,0,65.25,88.05000000000001,[],[]
nan,nan,nan,nan,0,0,3,0,0,2004,0,2004,0,1002,0,2004,0,2004,False,0,2,45677_00000,4b3554eec46b41eeb5d922821f573f3e,2023-02-10_13-06-17,1676030777,3.160581111907959,7.087150812149048,14767,Daniel,192.168.152.36,7.087150812149048,0,2,11.184238195419312,2004,0,2004,0,nan,nan,nan,nan,0,0,[],[],9.969,2004,0,2004,0,61.67999999999999,88.13999999999999,[],[]
-301.00610848406444,-466.9075788295796,-359.7539484348061,1000.0,3,0,3,0,0,3006,0,3006,0,1002,0,3006,0,3006,False,3,3,45677_00000,4b3554eec46b41eeb5d922821f573f3e,2023-02-10_13-06-21,1676030781,3.3017525672912598,10.388903379440308,14767,Daniel,192.168.152.36,10.388903379440308,0,3,11.184238195419312,3006,0,3006,0,-301.00610848406444,-466.9075788295796,-359.7539484348061,1000.0,3,0,"[-466.9075788295796, -301.00610848406444, -311.3481579907742]","[1000, 1000, 1000]",8.779,3006,0,3006,0,65.65,88.25,"[-466.9075788295796, -301.00610848406444, -311.3481579907742]","[1000, 1000, 1000]"
-301.00610848406444,-466.9075788295796,-359.7539484348061,1000.0,0,0,3,0,0,4008,0,4008,0,1002,0,4008,0,4008,False,3,4,45677_00000,4b3554eec46b41eeb5d922821f573f3e,2023-02-10_13-06-24,1676030784,3.271254301071167,13.660157680511475,14767,Daniel,192.168.152.36,13.660157680511475,0,4,11.184238195419312,4008,0,4008,0,-301.00610848406444,-466.9075788295796,-359.7539484348061,1000.0,0,0,"[-466.9075788295796, -301.00610848406444, -311.3481579907742]","[1000, 1000, 1000]",9.661,4008,0,4008,0,64.32000000000001,88.35999999999999,"[-466.9075788295796, -301.00610848406444, -311.3481579907742]","[1000, 1000, 1000]"
-301.00610848406444,-466.9075788295796,-359.7539484348061,1000.0,0,0,3,0,0,5010,0,5010,0,1002,0,5010,0,5010,False,3,5,45677_00000,4b3554eec46b41eeb5d922821f573f3e,2023-02-10_13-06-27,1676030787,3.1232755184173584,16.783433198928833,14767,Daniel,192.168.152.36,16.783433198928833,0,5,11.184238195419312,5010,0,5010,0,-301.00610848406444,-466.9075788295796,-359.7539484348061,1000.0,0,0,"[-466.9075788295796, -301.00610848406444, -311.3481579907742]","[1000, 1000, 1000]",8.842,5010,0,5010,0,63.8,88.34,"[-466.9075788295796, -301.00610848406444, -311.3481579907742]","[1000, 1000, 1000]"
-219.50957813320463,-388.76718337046617,-288.98037319089906,1000.0,3,0,3,0,0,6012,0,6012,0,1002,0,6012,0,6012,False,6,6,45677_00000,4b3554eec46b41eeb5d922821f573f3e,2023-02-10_13-06-31,1676030791,3.295802354812622,20.079235553741455,14767,Daniel,192.168.152.36,20.079235553741455,0,6,11.184238195419312,6012,0,6012,0,-219.50957813320463,-388.76718337046617,-288.98037319089906,1000.0,3,0,"[-301.00610848406444, -311.3481579907742, -219.50957813320463, -224.27083797598604, -388.76718337046617]","[1000, 1000, 1000, 1000, 1000]",9.188,6012,0,6012,0,62.699999999999996,88.3,"[-301.00610848406444, -311.3481579907742, -219.50957813320463, -224.27083797598604, -388.76718337046617]","[1000, 1000, 1000, 1000, 1000]"
-219.50957813320463,-388.76718337046617,-288.98037319089906,1000.0,0,0,3,0,0,7014,0,7014,0,1002,0,7014,0,7014,False,6,7,45677_00000,4b3554eec46b41eeb5d922821f573f3e,2023-02-10_13-06-34,1676030794,3.236085891723633,23.315321445465088,14767,Daniel,192.168.152.36,23.315321445465088,0,7,11.184238195419312,7014,0,7014,0,-219.50957813320463,-388.76718337046617,-288.98037319089906,1000.0,0,0,"[-301.00610848406444, -311.3481579907742, -219.50957813320463, -224.27083797598604, -388.76718337046617]","[1000, 1000, 1000, 1000, 1000]",9.547,7014,0,7014,0,63.7,88.33999999999999,"[-301.00610848406444, -311.3481579907742, -219.50957813320463, -224.27083797598604, -388.76718337046617]","[1000, 1000, 1000, 1000, 1000]"
-219.50957813320463,-388.76718337046617,-288.98037319089906,1000.0,0,0,3,0,0,8016,0,8016,0,1002,0,8016,0,8016,False,6,8,45677_00000,4b3554eec46b41eeb5d922821f573f3e,2023-02-10_13-06-37,1676030797,3.475531816482544,26.790853261947632,14767,Daniel,192.168.152.36,26.790853261947632,0,8,11.184238195419312,8016,0,8016,0,-219.50957813320463,-388.76718337046617,-288.98037319089906,1000.0,0,0,"[-301.00610848406444, -311.3481579907742, -219.50957813320463, -224.27083797598604, -388.76718337046617]","[1000, 1000, 1000, 1000, 1000]",9.452,8016,0,8016,0,68.14,88.28,"[-301.00610848406444, -311.3481579907742, -219.50957813320463, -224.27083797598604, -388.76718337046617]","[1000, 1000, 1000, 1000, 1000]"
-224.27083797598604,-407.3774212478938,-313.2151400354118,1000.0,3,0,3,0,0,9018,0,9018,0,1002,0,9018,0,9018,False,9,9,45677_00000,4b3554eec46b41eeb5d922821f573f3e,2023-02-10_13-06-41,1676030801,3.5500707626342773,30.34092402458191,14767,Daniel,192.168.152.36,30.34092402458191,0,9,11.184238195419312,9018,0,9018,0,-224.27083797598604,-407.3774212478938,-313.2151400354118,1000.0,3,0,"[-224.27083797598604, -388.76718337046617, -230.2015798155381, -407.3774212478938, -315.45867776717506]","[1000, 1000, 1000, 1000, 1000]",10.166,9018,0,9018,0,68.47999999999999,88.53999999999999,"[-224.27083797598604, -388.76718337046617, -230.2015798155381, -407.3774212478938, -315.45867776717506]","[1000, 1000, 1000, 1000, 1000]"
-224.27083797598604,-407.3774212478938,-313.2151400354118,1000.0,0,0,3,0,0,10020,1792,10020,1792,1002,1792,10020,1792,10020,False,9,10,45677_00000,4b3554eec46b41eeb5d922821f573f3e,2023-02-10_13-06-46,1676030806,4.746781826019287,35.087705850601196,14767,Daniel,192.168.152.36,35.087705850601196,0,10,11.184238195419312,10020,1792,10020,1792,-224.27083797598604,-407.3774212478938,-313.2151400354118,1000.0,0,0,"[-224.27083797598604, -388.76718337046617, -230.2015798155381, -407.3774212478938, -315.45867776717506]","[1000, 1000, 1000, 1000, 1000]",138.023,10020,1792,10020,1792,58.15714285714286,88.72857142857141,"[-224.27083797598604, -388.76718337046617, -230.2015798155381, -407.3774212478938, -315.45867776717506]","[1000, 1000, 1000, 1000, 1000]"
