episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_faulty_episodes,num_healthy_workers,num_in_flight_async_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,timesteps_total,num_steps_trained_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,sampler_results/episode_reward_max,sampler_results/episode_reward_min,sampler_results/episode_reward_mean,sampler_results/episode_len_mean,sampler_results/episodes_this_iter,sampler_results/num_faulty_episodes,hist_stats/episode_reward,hist_stats/episode_lengths,timers/training_iteration_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,sampler_results/hist_stats/episode_reward,sampler_results/hist_stats/episode_lengths
nan,nan,nan,nan,0,0,3,0,0,1002,0,1002,0,1002,0,1002,0,1002,False,0,1,4a7ee_00000,eb2ab4e9039e47baa7a0744ff713e4f8,2023-02-10_11-04-39,1676023479,3.607553005218506,3.607553005218506,8770,Daniel,192.168.152.36,3.607553005218506,0,1,8.903371334075928,1002,0,1002,0,nan,nan,nan,nan,0,0,[],[],8.762,1002,0,1002,0,62.35,78.14999999999999,[],[]
nan,nan,nan,nan,0,0,3,0,0,2004,0,2004,0,1002,0,2004,0,2004,False,0,2,4a7ee_00000,eb2ab4e9039e47baa7a0744ff713e4f8,2023-02-10_11-04-42,1676023482,3.0915679931640625,6.699120998382568,8770,Daniel,192.168.152.36,6.699120998382568,0,2,8.903371334075928,2004,0,2004,0,nan,nan,nan,nan,0,0,[],[],10.122,2004,0,2004,0,61.7,78.25,[],[]
-243.23089576113307,-330.3177143457895,-296.75067495915124,1000.0,3,0,3,0,0,3006,0,3006,0,1002,0,3006,0,3006,False,3,3,4a7ee_00000,eb2ab4e9039e47baa7a0744ff713e4f8,2023-02-10_11-04-45,1676023485,3.188333749771118,9.887454748153687,8770,Daniel,192.168.152.36,9.887454748153687,0,3,8.903371334075928,3006,0,3006,0,-243.23089576113307,-330.3177143457895,-296.75067495915124,1000.0,3,0,"[-316.7034147705312, -243.23089576113307, -330.3177143457895]","[1000, 1000, 1000]",8.982,3006,0,3006,0,62.279999999999994,78.44,"[-316.7034147705312, -243.23089576113307, -330.3177143457895]","[1000, 1000, 1000]"
-243.23089576113307,-330.3177143457895,-296.75067495915124,1000.0,0,0,3,0,0,4008,0,4008,0,1002,0,4008,0,4008,False,3,4,4a7ee_00000,eb2ab4e9039e47baa7a0744ff713e4f8,2023-02-10_11-04-48,1676023488,3.12568998336792,13.013144731521606,8770,Daniel,192.168.152.36,13.013144731521606,0,4,8.903371334075928,4008,0,4008,0,-243.23089576113307,-330.3177143457895,-296.75067495915124,1000.0,0,0,"[-316.7034147705312, -243.23089576113307, -330.3177143457895]","[1000, 1000, 1000]",8.834,4008,0,4008,0,61.475,78.425,"[-316.7034147705312, -243.23089576113307, -330.3177143457895]","[1000, 1000, 1000]"
-243.23089576113307,-330.3177143457895,-296.75067495915124,1000.0,0,0,3,0,0,5010,0,5010,0,1002,0,5010,0,5010,False,3,5,4a7ee_00000,eb2ab4e9039e47baa7a0744ff713e4f8,2023-02-10_11-04-51,1676023491,3.0801594257354736,16.09330415725708,8770,Daniel,192.168.152.36,16.09330415725708,0,5,8.903371334075928,5010,0,5010,0,-243.23089576113307,-330.3177143457895,-296.75067495915124,1000.0,0,0,"[-316.7034147705312, -243.23089576113307, -330.3177143457895]","[1000, 1000, 1000]",9.999,5010,0,5010,0,61.739999999999995,78.47999999999999,"[-316.7034147705312, -243.23089576113307, -330.3177143457895]","[1000, 1000, 1000]"
-219.98550821273926,-330.3177143457895,-274.8100955064721,1000.0,3,0,3,0,0,6012,0,6012,0,1002,0,6012,0,6012,False,6,6,4a7ee_00000,eb2ab4e9039e47baa7a0744ff713e4f8,2023-02-10_11-04-54,1676023494,3.236492156982422,19.329796314239502,8770,Daniel,192.168.152.36,19.329796314239502,0,6,8.903371334075928,6012,0,6012,0,-219.98550821273926,-330.3177143457895,-274.8100955064721,1000.0,3,0,"[-243.23089576113307, -330.3177143457895, -279.3985010113102, -301.1178582013888, -219.98550821273926]","[1000, 1000, 1000, 1000, 1000]",8.904,6012,0,6012,0,66.575,78.45,"[-243.23089576113307, -330.3177143457895, -279.3985010113102, -301.1178582013888, -219.98550821273926]","[1000, 1000, 1000, 1000, 1000]"
-219.98550821273926,-330.3177143457895,-274.8100955064721,1000.0,0,0,3,0,0,7014,0,7014,0,1002,0,7014,0,7014,False,6,7,4a7ee_00000,eb2ab4e9039e47baa7a0744ff713e4f8,2023-02-10_11-04-58,1676023498,3.3433990478515625,22.673195362091064,8770,Daniel,192.168.152.36,22.673195362091064,0,7,8.903371334075928,7014,0,7014,0,-219.98550821273926,-330.3177143457895,-274.8100955064721,1000.0,0,0,"[-243.23089576113307, -330.3177143457895, -279.3985010113102, -301.1178582013888, -219.98550821273926]","[1000, 1000, 1000, 1000, 1000]",10.764,7014,0,7014,0,64.4,78.5,"[-243.23089576113307, -330.3177143457895, -279.3985010113102, -301.1178582013888, -219.98550821273926]","[1000, 1000, 1000, 1000, 1000]"
-219.98550821273926,-330.3177143457895,-274.8100955064721,1000.0,0,0,3,0,0,8016,0,8016,0,1002,0,8016,0,8016,False,6,8,4a7ee_00000,eb2ab4e9039e47baa7a0744ff713e4f8,2023-02-10_11-05-02,1676023502,3.727773666381836,26.4009690284729,8770,Daniel,192.168.152.36,26.4009690284729,0,8,8.903371334075928,8016,0,8016,0,-219.98550821273926,-330.3177143457895,-274.8100955064721,1000.0,0,0,"[-243.23089576113307, -330.3177143457895, -279.3985010113102, -301.1178582013888, -219.98550821273926]","[1000, 1000, 1000, 1000, 1000]",15.388,8016,0,8016,0,65.98,78.6,"[-243.23089576113307, -330.3177143457895, -279.3985010113102, -301.1178582013888, -219.98550821273926]","[1000, 1000, 1000, 1000, 1000]"
-219.98550821273926,-355.12658862007805,-293.47827847071596,1000.0,3,0,3,0,0,9018,0,9018,0,1002,0,9018,0,9018,False,9,9,4a7ee_00000,eb2ab4e9039e47baa7a0744ff713e4f8,2023-02-10_11-05-05,1676023505,3.2953126430511475,29.696281671524048,8770,Daniel,192.168.152.36,29.696281671524048,0,9,8.903371334075928,9018,0,9018,0,-219.98550821273926,-355.12658862007805,-293.47827847071596,1000.0,3,0,"[-301.1178582013888, -219.98550821273926, -242.51748572060387, -355.12658862007805, -348.6439515987698]","[1000, 1000, 1000, 1000, 1000]",11.278,9018,0,9018,0,66.34,78.72,"[-301.1178582013888, -219.98550821273926, -242.51748572060387, -355.12658862007805, -348.6439515987698]","[1000, 1000, 1000, 1000, 1000]"
-219.98550821273926,-355.12658862007805,-293.47827847071596,1000.0,0,0,3,0,0,10020,1792,10020,1792,1002,1792,10020,1792,10020,False,9,10,4a7ee_00000,eb2ab4e9039e47baa7a0744ff713e4f8,2023-02-10_11-05-10,1676023510,4.83838152885437,34.53466320037842,8770,Daniel,192.168.152.36,34.53466320037842,0,10,8.903371334075928,10020,1792,10020,1792,-219.98550821273926,-355.12658862007805,-293.47827847071596,1000.0,0,0,"[-301.1178582013888, -219.98550821273926, -242.51748572060387, -355.12658862007805, -348.6439515987698]","[1000, 1000, 1000, 1000, 1000]",119.991,10020,1792,10020,1792,61.81428571428571,78.98571428571428,"[-301.1178582013888, -219.98550821273926, -242.51748572060387, -355.12658862007805, -348.6439515987698]","[1000, 1000, 1000, 1000, 1000]"
