episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_faulty_episodes,num_healthy_workers,num_in_flight_async_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,timesteps_total,num_steps_trained_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,sampler_results/episode_reward_max,sampler_results/episode_reward_min,sampler_results/episode_reward_mean,sampler_results/episode_len_mean,sampler_results/episodes_this_iter,sampler_results/num_faulty_episodes,hist_stats/episode_reward,hist_stats/episode_lengths,timers/training_iteration_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,sampler_results/hist_stats/episode_reward,sampler_results/hist_stats/episode_lengths
nan,nan,nan,nan,0,0,3,0,0,1002,0,1002,0,1002,0,1002,0,1002,False,0,1,9fb81_00000,359c2c77b76b4dd6977ec99c57b8d411,2023-02-09_23-25-32,1675981532,3.763906240463257,3.763906240463257,5255,Daniel,192.168.152.36,3.763906240463257,0,1,9.499566316604614,1002,0,1002,0,nan,nan,nan,nan,0,0,[],[],10.986,1002,0,1002,0,64.46666666666667,55.300000000000004,[],[]
nan,nan,nan,nan,0,0,3,0,0,2004,0,2004,0,1002,0,2004,0,2004,False,0,2,9fb81_00000,359c2c77b76b4dd6977ec99c57b8d411,2023-02-09_23-25-35,1675981535,3.3296666145324707,7.0935728549957275,5255,Daniel,192.168.152.36,7.0935728549957275,0,2,9.499566316604614,2004,0,2004,0,nan,nan,nan,nan,0,0,[],[],8.566,2004,0,2004,0,63.42,55.2,[],[]
-207.128532707221,-267.65659239306837,-237.5544262135841,1000.0,3,0,3,0,0,3006,0,3006,0,1002,0,3006,0,3006,False,3,3,9fb81_00000,359c2c77b76b4dd6977ec99c57b8d411,2023-02-09_23-25-38,1675981538,2.937443494796753,10.03101634979248,5255,Daniel,192.168.152.36,10.03101634979248,0,3,9.499566316604614,3006,0,3006,0,-207.128532707221,-267.65659239306837,-237.5544262135841,1000.0,3,0,"[-237.87815354046293, -267.65659239306837, -207.128532707221]","[1000, 1000, 1000]",8.751,3006,0,3006,0,60.15,55.2,"[-237.87815354046293, -267.65659239306837, -207.128532707221]","[1000, 1000, 1000]"
-207.128532707221,-267.65659239306837,-237.5544262135841,1000.0,0,0,3,0,0,4008,0,4008,0,1002,0,4008,0,4008,False,3,4,9fb81_00000,359c2c77b76b4dd6977ec99c57b8d411,2023-02-09_23-25-41,1675981541,3.0574591159820557,13.088475465774536,5255,Daniel,192.168.152.36,13.088475465774536,0,4,9.499566316604614,4008,0,4008,0,-207.128532707221,-267.65659239306837,-237.5544262135841,1000.0,0,0,"[-237.87815354046293, -267.65659239306837, -207.128532707221]","[1000, 1000, 1000]",8.488,4008,0,4008,0,61.25,55.15,"[-237.87815354046293, -267.65659239306837, -207.128532707221]","[1000, 1000, 1000]"
-207.128532707221,-267.65659239306837,-237.5544262135841,1000.0,0,0,3,0,0,5010,0,5010,0,1002,0,5010,0,5010,False,3,5,9fb81_00000,359c2c77b76b4dd6977ec99c57b8d411,2023-02-09_23-25-45,1675981545,3.662830114364624,16.75130558013916,5255,Daniel,192.168.152.36,16.75130558013916,0,5,9.499566316604614,5010,0,5010,0,-207.128532707221,-267.65659239306837,-237.5544262135841,1000.0,0,0,"[-237.87815354046293, -267.65659239306837, -207.128532707221]","[1000, 1000, 1000]",10.569,5010,0,5010,0,67.6,55.4,"[-237.87815354046293, -267.65659239306837, -207.128532707221]","[1000, 1000, 1000]"
-207.128532707221,-321.0240325291854,-282.65048618793907,1000.0,3,0,3,0,0,6012,0,6012,0,1002,0,6012,0,6012,False,6,6,9fb81_00000,359c2c77b76b4dd6977ec99c57b8d411,2023-02-09_23-25-49,1675981549,4.1083784103393555,20.859683990478516,5255,Daniel,192.168.152.36,20.859683990478516,0,6,9.499566316604614,6012,0,6012,0,-207.128532707221,-321.0240325291854,-282.65048618793907,1000.0,3,0,"[-267.65659239306837, -207.128532707221, -319.46352446174, -321.0240325291854, -297.97974884848054]","[1000, 1000, 1000, 1000, 1000]",12.931,6012,0,6012,0,76.1,56.349999999999994,"[-267.65659239306837, -207.128532707221, -319.46352446174, -321.0240325291854, -297.97974884848054]","[1000, 1000, 1000, 1000, 1000]"
-207.128532707221,-321.0240325291854,-282.65048618793907,1000.0,0,0,3,0,0,7014,0,7014,0,1002,0,7014,0,7014,False,6,7,9fb81_00000,359c2c77b76b4dd6977ec99c57b8d411,2023-02-09_23-25-53,1675981553,4.5462517738342285,25.405935764312744,5255,Daniel,192.168.152.36,25.405935764312744,0,7,9.499566316604614,7014,0,7014,0,-207.128532707221,-321.0240325291854,-282.65048618793907,1000.0,0,0,"[-267.65659239306837, -207.128532707221, -319.46352446174, -321.0240325291854, -297.97974884848054]","[1000, 1000, 1000, 1000, 1000]",13.988,7014,0,7014,0,78.45714285714287,57.15714285714286,"[-267.65659239306837, -207.128532707221, -319.46352446174, -321.0240325291854, -297.97974884848054]","[1000, 1000, 1000, 1000, 1000]"
-207.128532707221,-321.0240325291854,-282.65048618793907,1000.0,0,0,3,0,0,8016,0,8016,0,1002,0,8016,0,8016,False,6,8,9fb81_00000,359c2c77b76b4dd6977ec99c57b8d411,2023-02-09_23-25-59,1675981559,5.792193651199341,31.198129415512085,5255,Daniel,192.168.152.36,31.198129415512085,0,8,9.499566316604614,8016,0,8016,0,-207.128532707221,-321.0240325291854,-282.65048618793907,1000.0,0,0,"[-267.65659239306837, -207.128532707221, -319.46352446174, -321.0240325291854, -297.97974884848054]","[1000, 1000, 1000, 1000, 1000]",8.985,8016,0,8016,0,84.6,58.7,"[-267.65659239306837, -207.128532707221, -319.46352446174, -321.0240325291854, -297.97974884848054]","[1000, 1000, 1000, 1000, 1000]"
-233.99772775695823,-340.8995194641167,-292.9808384674325,1000.0,3,0,3,0,0,9018,0,9018,0,1002,0,9018,0,9018,False,9,9,9fb81_00000,359c2c77b76b4dd6977ec99c57b8d411,2023-02-09_23-26-03,1675981563,3.2127270698547363,34.41085648536682,5255,Daniel,192.168.152.36,34.41085648536682,0,9,9.499566316604614,9018,0,9018,0,-233.99772775695823,-340.8995194641167,-292.9808384674325,1000.0,3,0,"[-321.0240325291854, -297.97974884848054, -271.00316373842156, -340.8995194641167, -233.99772775695823]","[1000, 1000, 1000, 1000, 1000]",8.965,9018,0,9018,0,64.32,59.11999999999999,"[-321.0240325291854, -297.97974884848054, -271.00316373842156, -340.8995194641167, -233.99772775695823]","[1000, 1000, 1000, 1000, 1000]"
-233.99772775695823,-340.8995194641167,-292.9808384674325,1000.0,0,0,3,0,0,10020,1792,10020,1792,1002,1792,10020,1792,10020,False,9,10,9fb81_00000,359c2c77b76b4dd6977ec99c57b8d411,2023-02-09_23-26-07,1675981567,4.301180362701416,38.71203684806824,5255,Daniel,192.168.152.36,38.71203684806824,0,10,9.499566316604614,10020,1792,10020,1792,-233.99772775695823,-340.8995194641167,-292.9808384674325,1000.0,0,0,"[-321.0240325291854, -297.97974884848054, -271.00316373842156, -340.8995194641167, -233.99772775695823]","[1000, 1000, 1000, 1000, 1000]",117.412,10020,1792,10020,1792,59.866666666666674,58.78333333333334,"[-321.0240325291854, -297.97974884848054, -271.00316373842156, -340.8995194641167, -233.99772775695823]","[1000, 1000, 1000, 1000, 1000]"
